Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 1),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil,Median Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline2,Time to Interactive,H2,104.97,,-137.98,-56.8,255.0,0.000000,Ja,0.796,groß,-157.53,-76.3,Kestrel-Kit (Prototyp),242.95
4G (Mobil),4g,prototype_vs_baseline2,Total Blocking Time,H2,0.0,,0.0,,1225.0,0.567642,Nein,0.02,vernachlässigbar,0.0,0.0,Legacy (Baseline 2),0.0
4G (Mobil),4g,prototype_vs_baseline2,Cumulative Layout Shift,H1,0.0,,-0.0,-100.0,0.0,0.000000,Ja,1.0,groß,-0.0,-0.0,Kestrel-Kit (Prototyp),0.0
4G (Mobil),4g,prototype_vs_baseline2,Speed Index,H1,47.0,,-113.5,-70.7,100.0,0.000000,Ja,0.92,groß,-123.5,-109.5,Kestrel-Kit (Prototyp),160.5
4G (Mobil),4g,prototype_vs_baseline2,JS-Ausführungszeit,H2,143.14,,21.55,17.7,2490.0,0.000000,Ja,-0.992,groß,17.67,24.23,Legacy (Baseline 2),121.58
4G (Mobil),4g,prototype_vs_baseline2,JS Heap (Used),H2,13.32,,1.57,13.3,2459.5,0.000000,Ja,-0.968,groß,0.51,1.61,Legacy (Baseline 2),11.75
4G (Mobil),4g,prototype_vs_baseline2,Payload (gesamt),H1,1155.2,,289.53,33.4,2500.0,0.000000,Ja,-1.0,groß,275.06,322.04,Legacy (Baseline 2),865.68
4G (Mobil),4g,prototype_vs_baseline2,HTTP-Requests,H1,131.0,,27.0,26.0,2500.0,0.000000,Ja,-1.0,groß,26.0,28.0,Legacy (Baseline 2),104.0
4G (Mobil),4g,prototype_vs_baseline2,HTML-Dokument,H1,14.98,,-2.38,-13.7,0.0,0.000000,Ja,1.0,groß,-2.4,-2.36,Kestrel-Kit (Prototyp),17.36
4G (Mobil),4g,prototype_vs_baseline2,JS-Payload,H2,755.4,,179.93,31.3,2500.0,0.000000,Ja,-1.0,groß,179.9,179.95,Legacy (Baseline 2),575.47
4G (Mobil),4g,prototype_vs_baseline2,API-Payload (Fetch+XHR),H1,236.68,,130.61,123.1,2500.0,0.000000,Ja,-1.0,groß,130.44,130.74,Legacy (Baseline 2),106.07
4G (Mobil),4g,prototype_vs_baseline2,CSS-Payload,H1,25.89,,-46.47,-64.2,0.0,0.000000,Ja,1.0,groß,-46.48,-46.47,Kestrel-Kit (Prototyp),72.36
4G (Mobil),4g,prototype_vs_baseline2,Statische Assets,H1,122.27,,36.31,42.2,2000.0,0.000000,Ja,-0.6,groß,21.41,68.81,Legacy (Baseline 2),85.96
4G (Mobil),4g,prototype_vs_baseline2,Time to First Byte,H1,227.85,,127.1,126.2,2350.0,0.000000,Ja,-0.88,groß,95.1,140.7,Legacy (Baseline 2),100.75
4G (Mobil),4g,prototype_vs_baseline2,DOMContentLoaded,H2,1524.95,,32.0,2.1,1606.5,0.014119,Ja,-0.285,klein,-8.1,82.1,Legacy (Baseline 2),1492.95
4G (Mobil),4g,prototype_vs_baseline2,DOM Interactive,H2,913.5,,39.9,4.6,1625.0,0.009830,Ja,-0.3,mittel,-8.6,69.95,Legacy (Baseline 2),873.6
4G (Mobil),4g,prototype_vs_baseline2,Lighthouse Score,H1,100.0,,0.0,0.0,1352.5,0.087465,Nein,-0.082,vernachlässigbar,0.0,0.0,Legacy (Baseline 2),100.0
Worst-Case (Stress),worst_case,prototype_vs_baseline,First Contentful Paint,H1/H2,293.0,510.96,-217.97,-42.7,169.0,0.000000,Ja,0.865,groß,-421.79,-161.8,Kestrel-Kit (Prototyp),
