runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
40,Ping,4,17229,16.83,0
40,XHR,1,425,0.42,0
40,Preflight,2,0,0,0
41,Document,2,18891,18.45,0
41,Script,76,580446,566.84,0
41,Stylesheet,4,62565,61.1,0
41,Font,2,45527,44.46,0
41,Image,1,1049,1.02,0
41,Other,4,32661,31.9,0
41,Fetch,8,108468,105.93,0
41,Ping,4,17230,16.83,0
41,XHR,1,425,0.42,0
41,Preflight,2,0,0,0
42,Document,2,18872,18.43,0
42,Script,76,580487,566.88,0
42,Stylesheet,4,62565,61.1,0
42,Font,2,45529,44.46,0
42,Image,1,1049,1.02,0
42,Other,4,32668,31.9,0
42,Fetch,8,108453,105.91,0
42,Ping,4,17216,16.81,0
42,XHR,1,425,0.42,0
42,Preflight,2,0,0,0
43,Document,2,18906,18.46,0
43,Script,76,580393,566.79,0
43,Stylesheet,4,62606,61.14,0
43,Font,2,45528,44.46,0
43,Image,1,1049,1.02,0
43,Other,4,32667,31.9,0
43,Fetch,8,108472,105.93,0
43,Ping,4,17235,16.83,0
43,XHR,1,425,0.42,0
43,Preflight,2,0,0,0
44,Document,2,18859,18.42,0
44,Script,76,580412,566.81,0
44,Stylesheet,4,62597,61.13,0
44,Font,2,45529,44.46,0
44,Image,1,1049,1.02,0
44,Other,4,32670,31.9,0
44,Fetch,8,108452,105.91,0
44,Ping,4,17210,16.81,0
44,XHR,1,425,0.42,0
44,Preflight,2,0,0,0
45,Document,2,18899,18.46,0
45,Script,76,580432,566.83,0
45,Stylesheet,4,62643,61.17,0
45,Font,2,45529,44.46,0
45,Image,1,1049,1.02,0
45,Other,4,32673,31.91,0
45,Fetch,8,108469,105.93,0
45,Ping,4,17226,16.82,0
45,XHR,1,425,0.42,0
45,Preflight,2,0,0,0
46,Document,2,18896,18.45,0
46,Script,76,580398,566.79,0
46,Stylesheet,4,62597,61.13,0
46,Font,2,45529,44.46,0
46,Other,4,32666,31.9,0
46,Image,1,1049,1.02,0
46,Fetch,8,108464,105.92,0
46,Ping,4,17206,16.8,0
46,XHR,1,425,0.42,0
46,Preflight,2,0,0,0
47,Document,2,18959,18.51,0
47,Script,76,580398,566.79,0
47,Stylesheet,4,62600,61.13,0
47,Font,2,45529,44.46,0
47,Image,1,1049,1.02,0
47,Other,4,32667,31.9,0
47,Fetch,8,108473,105.93,0
47,Ping,4,17220,16.82,0
47,XHR,1,425,0.42,0
47,Preflight,2,0,0,0
48,Document,2,18879,18.44,0
48,Script,76,580414,566.81,0
48,Stylesheet,4,62601,61.13,0
